mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,2.539183147,382.1,2.4282,0.238,38.9,2.06,1332.0,1.0,5519.0,1.062,0.921,4.35
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,6.770300385,1304.0,2.0844,0.838,50.8,2.77,812.0,1.0,5653.0,0.679,0.767,4.656
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,1.0,0.444291966,10967.0,2.0792,1.258,299.7,27.51,1836.0,1.0,5255.0,0.636,0.709,4.678
Kepler,CANDIDATE,1.0,0.0,0.0,0.0,0.0,10.181584004,5741.1,3.5089,0.92,183.6,7.73,812.0,1.0,5988.0,0.836,0.885,4.541
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,20.06036336,1494.7,3.3203,0.556,35.2,1.96,361.0,4.0,3950.0,0.493,0.502,4.754
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,46.1842039,1394.7,4.758,0.013,26.0,1.83,273.0,4.0,3950.0,0.493,0.502,4.754
Kepler,CONFIRMED,0.952,0.0,0.0,0.0,0.0,23.9800854,104.0,5.351,0.95,17.1,1.31,649.0,4.0,5854.0,1.012,0.951,4.406
Kepler,CONFIRMED,0.994,0.0,0.0,0.0,0.0,7.82502168,520.8,2.186,0.708,15.9,1.2,494.0,4.0,3950.0,0.493,0.502,4.754
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,3.895936525,8544.8,2.3111,0.524,370.8,7.34,1005.0,1.0,5557.0,0.774,0.866,4.592
Kepler,CONFIRMED,0.999,0.0,0.0,0.0,0.0,22.36646466,986.8,5.228,0.4,32.1,2.32,536.0,1.0,5395.0,0.734,0.821,4.615
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,1.625522174,7969.0,2.38963,0.076,799.7,9.73,1579.0,1.0,5539.0,1.106,0.935,4.322
Kepler,CANDIDATE,1.0,0.0,0.0,0.0,0.0,19.620346923,21725.0,2.0038,0.458,340.5,13.6,643.0,1.0,5710.0,0.905,0.928,4.492
Kepler,FALSE POSITIVE,0.0,1.0,0.0,1.0,0.0,7.544039,322.6,6.222,1.175,14.2,17.47,838.0,1.0,5657.0,0.824,0.919,4.567
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,9.02930689,1019.8,3.1449,0.024,53.9,2.57,757.0,1.0,5349.0,0.82,0.824,4.526
Kepler,FALSE POSITIVE,0.053,0.0,1.0,0.0,0.0,10.328035714,16918.0,7.7915,0.281,636.8,13.28,843.0,1.0,5627.0,1.024,0.874,4.359
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,143.2063047,10566.0,8.9302,0.379,138.8,8.9,308.0,5.0,5485.0,0.867,0.986,4.556
Kepler,CONFIRMED,0.95,0.0,0.0,0.0,0.0,6.164876,55.8,3.262,0.646,14.4,0.79,1021.0,4.0,5854.0,1.012,0.951,4.406
Kepler,CONFIRMED,0.745,0.0,0.0,0.0,0.0,60.32494216,20280.0,6.6188,0.224,347.2,12.19,411.0,5.0,5485.0,0.867,0.986,4.556
Kepler,CONFIRMED,0.334,0.0,0.0,0.0,0.0,29.1598615,488.0,4.803,0.3619,11.6,1.91,524.0,5.0,5485.0,0.867,0.986,4.556
Kepler,FALSE POSITIVE,0.0,0.0,0.0,1.0,1.0,1.540397253,816.1,2.1541,1.225,38.8,25.69,1470.0,1.0,5663.0,0.915,1.034,4.53
